날짜,시도,측정소,PM10,PM25
2016-01-08,서울,금천구,39,24
2016-01-09,서울,금천구,34,22
2016-01-10,서울,금천구,32,20
2016-01-11,서울,금천구,48,24
2016-01-12,서울,금천구,49,26
2016-01-13,서울,금천구,36,21
2016-01-14,서울,금천구,46,31
2016-01-15,서울,금천구,63,46
2016-01-16,서울,금천구,67,49
2016-01-17,서울,금천구,78,58
2016-01-18,서울,금천구,78,60
2016-01-19,서울,금천구,26,15
2016-01-20,서울,금천구,42,29
2016-01-21,서울,금천구,53,36
2016-01-22,서울,금천구,47,30
2016-01-23,서울,금천구,28,17
2016-01-24,서울,금천구,30,14
2016-01-25,서울,금천구,70,24
2016-01-26,서울,금천구,74,45
2016-01-27,서울,금천구,61,38
2016-01-28,서울,금천구,63,40
2016-01-29,서울,금천구,55,34
2016-01-30,서울,금천구,55,33
2016-01-31,서울,금천구,43,26
2016-01-01,서울,강북구,79,54
2016-01-02,서울,강북구,77,44
2016-01-03,서울,강북구,136,84
2016-01-04,서울,강북구,155,99
2016-01-05,서울,강북구,40,24
2016-01-06,서울,강북구,56,32
2016-01-07,서울,강북구,58,35
2016-01-08,서울,강북구,40,26
2016-01-09,서울,강북구,43,20
2016-01-10,서울,강북구,27,18
2016-01-11,서울,강북구,46,25
2016-01-12,서울,강북구,48,27
2016-01-13,서울,강북구,37,18
2016-01-14,서울,강북구,55,34
2016-01-15,서울,강북구,66,40
2016-01-16,서울,강북구,80,52
2016-01-17,서울,강북구,87,54
2016-01-18,서울,강북구,72,50
2016-01-19,서울,강북구,23,14
2016-01-20,서울,강북구,50,26
2016-01-21,서울,강북구,48,29
2016-01-22,서울,강북구,52,27
2016-01-23,서울,강북구,22,15
2016-01-24,서울,강북구,19,11
2016-01-25,서울,강북구,59,27
2016-01-26,서울,강북구,62,37
2016-01-27,서울,강북구,59,34
2016-01-28,서울,강북구,62,36
2016-01-29,서울,강북구,60,31
2016-01-30,서울,강북구,67,37
2016-01-31,서울,강북구,66,35
2016-01-01,서울,양천구,35,23
2016-01-02,서울,양천구,76,56
2016-01-03,서울,양천구,164,121
2016-01-04,서울,양천구,164,123
2016-01-05,서울,양천구,49,28
2016-01-06,서울,양천구,67,37
2016-01-07,서울,양천구,60,32
2016-01-08,서울,양천구,41,27
2016-01-09,서울,양천구,44,29
2016-01-10,서울,양천구,40,27
2016-01-11,서울,양천구,51,28
2016-01-12,서울,양천구,50,27
2016-01-13,서울,양천구,39,19
2016-01-14,서울,양천구,54,38
2016-01-15,서울,양천구,79,53
2016-01-16,서울,양천구,77,58
2016-01-17,서울,양천구,104,79
2016-01-18,서울,양천구,109,83
2016-01-19,서울,양천구,31,16
2016-01-20,서울,양천구,45,32
2016-01-21,서울,양천구,57,36
2016-01-22,서울,양천구,47,30
2016-01-23,서울,양천구,26,16
2016-01-24,서울,양천구,34,14
2016-01-25,서울,양천구,80,30
2016-01-26,서울,양천구,82,46
2016-01-27,서울,양천구,60,36
2016-01-28,서울,양천구,62,39
2016-01-29,서울,양천구,57,33
2016-01-30,서울,양천구,58,35
2016-01-31,서울,양천구,48,28
2016-01-01,서울,노원구,76,52
2016-01-02,서울,노원구,58,44
2016-01-03,서울,노원구,116,77
2016-01-04,서울,노원구,120,84
2016-01-05,서울,노원구,34,21
2016-01-06,서울,노원구,51,33
2016-01-07,서울,노원구,51,30
